condition,rep,seed,inherit_prob,overlay_kind,overlay_strength,overlay_error,overlay_corr,mi_thr,stab_window,t_cross,t_stab,dwell,n_innov,fitness_final,mi_final,delta_fitness,delta_mi,t_fit,lag_fit_minus_stab
TAC_s0.25,27,3189765865,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,5.0,113.0,0.72,23,34.059375,0.3230025333915928,1.0640625000000057,0.06290417037477508,,
TAC_s0.25,28,3189765866,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,5.0,48.0,0.89,13,33.6921875,0.3206387658840887,1.4421875000000028,0.06725385193828992,,
TAC_s0.25,29,3189765867,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,5.0,85.0,0.755,31,33.871875,0.32506440901963096,1.4234375000000057,0.06433951668593119,,
TAC_s0.5,0,2775193338,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,5.0,5.0,0.975,1,33.8359375,0.3896650535370121,1.3539062500000014,0.1299029274868152,152.0,147.0
TAC_s0.5,1,2775193339,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,33.4390625,0.35076025861486904,0.484375,0.0897103007484174,,
TAC_s0.5,2,2775193340,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,5.0,5.0,0.975,1,34.778125,0.36683089450439693,1.21875,0.11216759187238362,164.0,159.0
TAC_s0.5,3,2775193341,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,5.0,5.0,0.975,1,33.88046875,0.35379981196968585,1.0968749999999972,0.09829874212793038,,
TAC_s0.5,4,2775193342,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,33.30625,0.3763478475271397,0.3578125000000014,0.11515164172232584,,
TAC_s0.5,5,2775193343,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,33.90546875,0.3894352237638926,1.5054687499999986,0.13952448914133914,,
TAC_s0.5,6,2775193344,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,32.93515625,0.35345222267754706,0.013281249999998579,0.0920309328551574,,
TAC_s0.5,7,2775193345,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,32.95703125,0.37649114766733704,0.4281250000000014,0.11612982396714622,,
TAC_s0.5,8,2775193346,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,33.5,0.37086553637869507,-0.3648437499999986,0.10974808097591554,,
TAC_s0.5,9,2775193347,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,3.0,3.0,0.985,1,33.76640625,0.3538037704440494,0.8570312500000057,0.09431306063357991,,
TAC_s0.5,10,2775193348,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,5.0,5.0,0.975,1,34.90859375,0.35650415281291914,2.4937499999999986,0.09424902768500487,60.0,55.0
TAC_s0.5,11,2775193349,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,34.3390625,0.395190511345573,1.2124999999999986,0.14137530847962881,96.0,92.0
TAC_s0.5,12,2775193350,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,5.0,5.0,0.975,1,32.93515625,0.36419628640187646,0.2835937500000014,0.10227427100141973,,
TAC_s0.5,13,2775193351,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,5.0,5.0,0.975,1,34.378125,0.3807157158828368,1.2804687499999972,0.12243886458641606,77.0,72.0
TAC_s0.5,14,2775193352,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,34.540625,0.3597016041311074,1.65625,0.10389874744909333,88.0,84.0
TAC_s0.5,15,2775193353,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,34.48359375,0.36676732194826667,1.2312499999999957,0.10787275740873137,67.0,63.0
TAC_s0.5,16,2775193354,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,5.0,5.0,0.975,1,33.9046875,0.36800185951836806,0.4593750000000014,0.10872876992358305,136.0,131.0
TAC_s0.5,17,2775193355,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,33.68203125,0.3706069505087426,1.0164062500000028,0.11702634841006876,,
TAC_s0.5,18,2775193356,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,6.0,6.0,0.97,1,34.48125,0.3924162276393479,1.2484375000000014,0.1289828787995172,30.0,24.0
TAC_s0.5,19,2775193357,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,33.52890625,0.373043591564087,0.09453124999999574,0.11154413434896243,137.0,133.0
TAC_s0.5,20,2775193358,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,34.32421875,0.4021325615531617,1.625,0.14756059880209693,,
TAC_s0.5,21,2775193359,0.8,TAC,0.5,0.01,0.0,0.320527666086021,20,4.0,4.0,0.98,1,33.8828125,0.3793376885049394,1.1312500000000014,0.11497994941264139,123.0,119.0
