overlay_kind,inherit_prob,n_reps,n_stab,p_stab,p_stab_ci_lo,p_stab_ci_hi,mean_dwell,mean_dwell_ci_lo,mean_dwell_ci_hi,mean_delta_fitness,mean_delta_fitness_ci_lo,mean_delta_fitness_ci_hi,mean_delta_mi,mean_delta_mi_ci_lo,mean_delta_mi_ci_hi,mean_fitness_final,mean_fitness_final_ci_lo,mean_fitness_final_ci_hi
PB,0.9,30,30,1.0,0.8864829086095221,1.0,0.9950000000000002,0.9950000000000002,0.9950000000000002,2.2530729166666665,1.8489902343749989,2.6760559895833333,0.1968294769162845,0.18978186112261358,0.20444716277814412,35.073333333333345,34.68120182291667,35.478249999999996
PB,1.0,30,30,1.0,0.8864829086095221,1.0,0.9950000000000002,0.9950000000000002,0.9950000000000002,6.990572916666668,6.405575520833334,7.661239583333332,0.25440818412319993,0.24376503258433443,0.26589898922931515,39.74794270833334,39.10629622395833,40.42894661458334
TAC,0.5,30,30,1.0,0.8864829086095221,1.0,0.9851666666666665,0.9844999999999999,0.9858333333333332,3.384557291666667,2.9652311197916665,3.812216145833334,0.2544561199247501,0.24570627552360597,0.26311209091946264,36.26471354166667,35.883154296875,36.631354817708335
TAC,0.6,30,30,1.0,0.8864829086095221,1.0,0.9851666666666665,0.9849999999999999,0.9854999999999999,4.054192708333333,3.743514973958333,4.365949218749997,0.26073411751586056,0.2521382865370115,0.2693043210294169,36.886874999999996,36.59572916666668,37.172054687499994
TAC,0.7,30,30,1.0,0.8864829086095221,1.0,0.9853333333333332,0.9849999999999999,0.9858333333333332,4.123645833333333,3.740326171875,4.4953313802083334,0.2581279101139905,0.25033801941593814,0.2662784165528266,37.038828124999995,36.65896223958334,37.41873046875
TAC,0.8,30,30,1.0,0.8864829086095221,1.0,0.9854999999999998,0.9849999999999999,0.986,5.209635416666667,4.710301432291665,5.705598307291668,0.268709938702667,0.25893079601092983,0.2774916403594888,38.08903645833334,37.58975520833333,38.557686848958326
TAC,0.9,30,30,1.0,0.8864829086095221,1.0,0.9854999999999998,0.9849999999999999,0.9861666666666664,6.095494791666667,5.569652343749999,6.6478385416666645,0.26899505166781296,0.25518228931921094,0.2823547475003341,39.145078125000005,38.60161458333334,39.69055013020834
TAC,1.0,30,30,1.0,0.8864829086095221,1.0,0.9859999999999999,0.9853333333333332,0.9868333333333331,6.1622135416666675,5.65619140625,6.669950520833331,0.2599788083155463,0.2494649646847468,0.2707368120447221,38.97778645833333,38.455916666666674,39.51668684895834
none,0.5,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,-0.11239583333333343,-0.3027832031250001,0.0825026041666676,0.006845593568509453,0.004728420859805262,0.008970704297284741,32.77828125,32.62456705729167,32.926192057291665
none,0.6,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.05049479166666681,-0.17597851562500066,0.2896399739583328,0.01493211876620497,0.012414624612791062,0.017405713871207696,32.97356770833333,32.828424479166664,33.128453125
none,0.7,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.27411458333333366,0.02463151041666676,0.553368489583334,0.0294381502367466,0.02623467819770143,0.03250381449790335,33.12927083333333,32.94506901041667,33.330146484375
none,0.8,30,0,0.0,0.0,0.113517091390478,0.10383333333333332,0.08900000000000001,0.11983333333333336,0.2147135416666663,0.005279947916666715,0.4216419270833327,0.0497132496218514,0.04587030709475412,0.05387184216946584,33.166354166666665,33.02116276041666,33.31086653645833
none,0.9,30,30,1.0,0.8864829086095221,1.0,0.9808333333333334,0.9795000000000001,0.9821666666666665,0.8967187500000001,0.5984062500000006,1.223434244791666,0.11501373489228459,0.10980910256878348,0.1201473584580185,33.84653645833333,33.56291536458333,34.14547005208333
